    role     | module_id |  action  | allowed 
-------------+-----------+----------+---------
 superadmin  |         1 | read     | t
 superadmin  |         1 | create   | t
 superadmin  |         1 | edit     | t
 superadmin  |         1 | delete   | t
 superadmin  |         1 | export   | t
 superadmin  |         1 | approve  | t
 superadmin  |         1 | pay      | t
 superadmin  |         1 | settings | t
 superadmin  |         2 | read     | t
 superadmin  |         2 | create   | t
 superadmin  |         2 | edit     | t
 superadmin  |         2 | delete   | t
 superadmin  |         2 | export   | t
 superadmin  |         2 | approve  | t
 superadmin  |         2 | pay      | t
 superadmin  |         2 | settings | t
 superadmin  |         3 | read     | t
 superadmin  |         3 | create   | t
 superadmin  |         3 | edit     | t
 superadmin  |         3 | delete   | t
 superadmin  |         3 | export   | t
 superadmin  |         3 | approve  | t
 superadmin  |         3 | pay      | t
 superadmin  |         3 | settings | t
 superadmin  |         4 | read     | t
 superadmin  |         4 | create   | t
 superadmin  |         4 | edit     | t
 superadmin  |         4 | delete   | t
 superadmin  |         4 | export   | t
 superadmin  |         4 | approve  | t
 superadmin  |         4 | pay      | t
 superadmin  |         4 | settings | t
 superadmin  |         5 | read     | t
 superadmin  |         5 | create   | t
 superadmin  |         5 | edit     | t
 superadmin  |         5 | delete   | t
 superadmin  |         5 | export   | t
 superadmin  |         5 | approve  | t
 superadmin  |         5 | pay      | t
 superadmin  |         5 | settings | t
 superadmin  |         6 | read     | t
 superadmin  |         6 | create   | t
 superadmin  |         6 | edit     | t
 superadmin  |         6 | delete   | t
 superadmin  |         6 | export   | t
 superadmin  |         6 | approve  | t
 superadmin  |         6 | pay      | t
 superadmin  |         6 | settings | t
 superadmin  |         7 | read     | t
 superadmin  |         7 | create   | t
 superadmin  |         7 | edit     | t
 superadmin  |         7 | delete   | t
 superadmin  |         7 | export   | t
 superadmin  |         7 | approve  | t
 superadmin  |         7 | pay      | t
 superadmin  |         7 | settings | t
 superadmin  |         8 | read     | t
 superadmin  |         8 | create   | t
 superadmin  |         8 | edit     | t
 superadmin  |         8 | delete   | t
 superadmin  |         8 | export   | t
 superadmin  |         9 | read     | t
 superadmin  |         9 | create   | t
 superadmin  |         9 | edit     | t
 superadmin  |         9 | delete   | t
 superadmin  |        10 | read     | t
 superadmin  |        10 | create   | t
 superadmin  |        10 | edit     | t
 superadmin  |        10 | delete   | t
 superadmin  |        13 | read     | t
 superadmin  |        13 | create   | t
 superadmin  |        13 | edit     | t
 superadmin  |        13 | delete   | t
 cashier     |         1 | read     | t
 cashier     |         1 | create   | t
 cashier     |         1 | edit     | t
 cashier     |         1 | delete   | t
 cashier     |         1 | export   | t
 cashier     |         1 | approve  | t
 cashier     |         1 | pay      | t
 cashier     |         1 | settings | t
 cashier     |         3 | read     | f
 cashier     |        13 | pay      | t
 finance     |         2 | read     | t
 finance     |         2 | create   | t
 finance     |         2 | edit     | t
 finance     |         2 | delete   | t
 finance     |         2 | export   | t
 finance     |         2 | approve  | t
 finance     |         2 | pay      | t
 finance     |         2 | settings | t
 finance     |         8 | read     | t
 finance     |         8 | create   | t
 finance     |         8 | edit     | t
 finance     |         8 | export   | t
 operational |         1 | read     | t
 operational |         1 | create   | t
 operational |         3 | read     | t
 operational |         3 | create   | t
 operational |         3 | edit     | t
 operational |         4 | read     | t
 operational |         4 | create   | t
 operational |         4 | edit     | t
 operational |         4 | delete   | t
 operational |         4 | export   | t
 operational |         4 | approve  | t
 operational |         4 | pay      | t
 operational |         4 | settings | t
 operational |         5 | read     | t
 operational |         5 | create   | t
 operational |         5 | edit     | t
 operational |         5 | delete   | t
 operational |         5 | export   | t
 operational |         5 | approve  | t
 operational |         5 | pay      | t
 operational |         5 | settings | t
 operational |         6 | read     | t
 operational |         6 | create   | t
 operational |         6 | edit     | t
 operational |         6 | delete   | t
 operational |         6 | export   | t
 operational |         6 | approve  | t
 operational |         6 | pay      | t
 operational |         6 | settings | t
 operational |         9 | read     | t
 operational |         9 | create   | t
 operational |         9 | edit     | t
 operational |        10 | read     | t
 operational |        10 | create   | t
 operational |        13 | read     | t
 operational |        13 | create   | t
 operational |        13 | edit     | t
(132 rows)

